house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
鼓楼-五塘广场-文景花园,51.00㎡,东南,1室1厅1卫,低楼层（11层）,1850 元/月,NJ1668829352147550208,2022-08-11,118.805943,32.11545,整租,//新上/精装/动迁安置房/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 16:47:11,南京
鼓楼-凤凰西街-天玺国际广场,59.00㎡,南,1室1厅1卫,中楼层（29层）,3500 元/月,NJ1662844387584901120,2022-08-10,118.736455,32.04944,整租,//精装/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 16:47:20,南京
鼓楼-凤凰西街-天玺国际广场,57.36㎡,南,1室1厅1卫,中楼层（29层）,3400 元/月,NJ1603582311079608320,2022-08-11,118.736455,32.04944,整租,//随时看房/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 16:47:24,南京
鼓楼-小市-花样年喜年中心,55.71㎡,南,1室1厅1卫,中楼层（19层）,3000 元/月,NJ1656859611317141504,2022-08-10,118.78609828294,32.103533373155,整租,//近地铁/精装/,有,暂无数据,暂无数据,暂无数据,无,暂无数据,2022-08-12 16:47:30,南京
鼓楼-建宁路-锦绣江山花园南苑,32.24㎡,北东北,1室1厅1卫,中楼层（11层）,2200 元/月,NJ1667161598583635968,2022-08-08,118.760435,32.107115,整租,//新上/精装/随时看房/,有,暂无数据,商水,民电,无,暂无数据,2022-08-12 16:47:38,南京
鼓楼-建宁路-证大大拇指广场,37.00㎡,东,1室1厅1卫,中楼层（31层）,2600 元/月,NJ1636346919783497728,2022-08-10,118.748667,32.096799,整租,//精装/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 16:47:46,南京
鼓楼-许府巷-江西路,46.08㎡,南北,1室1厅1卫,低楼层（5层）,2900 元/月,NJ1660648860369813504,2022-08-10,118.788478,32.089074,整租,//精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 16:47:49,南京
鼓楼-小市-安怀新村,36.94㎡,南西,1室1厅1卫,中楼层（6层）,2200 元/月,NJ1665726063101083648,2022-08-12,118.801398,32.105181,整租,//精装/,无,暂无数据,暂无数据,暂无数据,有,暂无数据,2022-08-12 16:47:53,南京
鼓楼-龙江-阳光金峰阁,42.29㎡,西南,1室1厅1卫,中楼层（19层）,2950 元/月,NJ1606518523482341376,2022-08-07,118.74708613959,32.062654234194,整租,//近地铁/精装/随时看房/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 16:48:01,南京
鼓楼-建宁路-紫金江景苑,51.36㎡,西北,1室1厅1卫,中楼层（18层）,2900 元/月,NJ1661346365835313152,2022-08-11,118.763403,32.101619,整租,//精装/随时看房/,有,暂无数据,民水,民电,无,暂无数据,2022-08-12 16:48:07,南京
